Digest Name,TAD - ATLANTA BELTLINE,TAD - WESTSIDE,TAD - PERRY BOLTON #3,TAD - EASTSIDE,TAD - CAMPBELLTON,TAD - FULTON METROPOLITAN,TAD - STADIUM,TAD - ATLANTIC STEEL,TAD - ATLANTA PRINCETON LAKE,TAD - HOLLOWELL,ATLANTA,All TADs
Short Name,Beltline,Westside,Perry Bolton,Eastside,Campbellton,Metropolitan,Stadium,Atlantaic Station,Princeton Lake,Hollowell,COA,All TADs
2007,"$856,293,808","$585,299,825","$165,248,471","$486,369,642",#N/A,#N/A,#N/A,"$376,020,220","$86,129,610",#N/A,"$23,815,074,590","$2,555,361,576"
2008,"$959,934,864","$699,702,894","$179,063,126","$604,022,294","$139,473,672","$63,721,064","$35,889,442","$441,430,380","$103,885,872","$66,626,646","$25,673,892,380","$3,293,750,254"
2009,"$988,288,000","$715,486,728","$165,551,173","$600,002,679","$166,805,732","$64,478,089","$31,894,690","$500,761,450","$99,070,638","$68,315,623","$23,776,035,654","$3,400,654,802"
2010,"$971,967,504","$715,486,728","$151,735,705","$572,619,364","$155,891,270","$57,186,344","$28,672,653","$455,267,350","$102,097,084","$63,679,330","$24,455,118,958","$3,274,603,332"
2011,"$1,001,403,856","$684,564,030","$151,735,705","$558,153,508","$142,887,096","$65,838,480","$25,156,180","$420,485,420","$91,846,240","$64,372,730","$23,675,025,558","$3,206,443,245"
2012,"$978,910,761","$641,143,620","$129,099,238","$501,719,348","$128,733,206","$50,134,692","$20,904,710","$440,516,300","$86,436,170","$57,299,284","$22,776,006,275","$3,034,897,329"
2013,"$926,844,140","$589,213,310","$117,287,350","$501,719,348","$115,023,392","$48,448,460","$19,671,320","$371,751,400","$87,984,238","$53,056,804","$20,716,616,552","$2,830,999,762"
2014,"$1,004,089,798","$564,992,488","$116,143,975","$504,177,170","$114,730,835","$52,883,650","$21,213,640","$412,774,470","$66,662,831","$51,695,602","$21,410,436,930","$2,909,364,459"
2015,"$1,004,089,798","$565,490,934","$114,229,141","$543,372,120","$119,334,690","$50,009,820","$33,724,110","$525,245,040","$70,291,735","$53,938,390","$23,761,822,876","$3,079,725,778"
2016,"$1,223,050,986","$658,274,979","$128,831,939","$610,733,139","$203,157,467","$47,294,490","$22,627,070","$518,680,970","$70,291,735","$52,206,090","$24,171,293,850","$3,535,148,865"
2017,"$1,289,298,445","$652,185,759","$132,114,800","$606,605,664","$141,221,488","$49,327,900","$24,192,250","$516,929,823","$101,011,578","$51,303,540","$24,943,987,884","$3,564,191,247"
2018,"$1,379,414,256","$680,929,923","$139,347,293","$656,482,549","$157,640,490","$58,311,970","$32,137,600","$636,170,780","$101,532,203","$57,342,510","$30,458,043,741","$3,899,309,574"
2019,"$1,732,186,435","$822,529,690","$181,089,730","$827,285,660","$176,623,937","$65,128,134","$36,542,240","$636,170,780","$117,898,120","$63,517,510","$31,459,430,084","$4,658,972,236"
2020,"$1,950,379,635","$961,881,130","$209,924,527","$925,764,765","$177,925,369","$56,327,173","$37,906,953","$621,757,635","$122,695,270","$67,309,770","$32,970,980,158","$5,131,872,227"
2021,"$2,214,125,917","$969,201,919","$256,364,795","$931,407,863","$197,263,218","$63,104,273","$77,488,658","$625,953,204","$129,688,331","$77,342,890","$35,195,712,206","$5,541,941,068"
2022,"$2,578,328,762","$1,014,591,892","$310,871,864","$1,033,952,636","$210,041,021","$67,169,415","$104,492,925","$680,446,548","$138,647,682","$80,931,840","$37,975,801,498","$6,219,474,585"
2023,"$2,929,326,477","$1,115,276,251","$394,898,775","$1,053,329,303","$300,447,451","$79,614,798","$173,073,192","$689,930,234","$141,187,157","$107,944,261","$42,418,390,725","$6,985,027,899"
2024,"$3,326,306,262","$1,263,833,989",#N/A,"$1,214,454,912","$368,769,441","$90,949,289","$173,073,192","$749,940,124",#N/A,"$108,714,748","$45,244,330,213","$7,296,041,957"
Baseline,546360280,270693404,66022880,299727400,113914780,42190240,28514200,7173240,826760,30814600,,
Year Created,2005,1998,2002,2003,2006,2006,2006,1999,2002,2006,,
Year End,2030,2038,2041,2030,2050,2050,2050,2024,2023,2050,,
Mayor's First Proposal,2056,2056,2056,2056,2056,2056,2056,#N/A,#N/A,2056,,
Mayor's Updated Proposal,2030,2056,2041,2056,2056,2056,2056,#N/A,#N/A,2056,,